,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain in Last 3 Hours (inches),Snow in Last 3 Hours (inches),Weather Description
0,Carnarvon,ZA,2019-10-22 06:22:58,-30.97,22.13,52.43,47,0,10.33,0.0,0.0,clear sky
1,Isla Mujeres,MX,2019-10-22 06:25:23,21.23,-86.73,82.4,83,5,9.17,0.0,0.0,clear sky
2,Arraial Do Cabo,BR,2019-10-22 06:22:39,-22.97,-42.02,70.2,74,76,11.52,0.0,0.0,broken clouds
3,Vestmanna,FO,2019-10-22 06:25:24,62.16,-7.17,41.0,75,83,10.29,0.0,0.0,light rain
4,Eltham,GB,2019-10-22 06:25:24,51.45,0.05,48.2,93,24,4.7,0.0,0.0,few clouds
5,Sao Gabriel Da Cachoeira,BR,2019-10-22 06:25:24,-0.13,-67.09,72.43,89,42,1.12,0.0,0.0,scattered clouds
6,Novoagansk,RU,2019-10-22 06:25:25,61.94,76.66,28.65,80,24,13.91,0.0,0.0,few clouds
7,Khatanga,RU,2019-10-22 06:23:08,71.98,102.47,16.77,92,100,15.26,0.0,0.13,light snow
8,Shingu,JP,2019-10-22 06:25:25,33.72,135.99,75.2,57,40,16.11,0.0,0.0,scattered clouds
9,Esperance,AU,2019-10-22 06:23:31,-33.86,121.89,68.0,64,0,16.11,0.0,0.0,clear sky
10,Butaritari,KI,2019-10-22 06:22:51,3.07,172.79,84.4,76,3,12.41,0.31,0.0,light rain
11,Jalu,LY,2019-10-22 06:23:29,29.03,21.55,70.05,68,0,6.55,0.0,0.0,clear sky
12,Kapaa,US,2019-10-22 06:22:34,22.08,-159.32,80.6,83,90,14.99,0.0,0.0,overcast clouds
13,Georgetown,GY,2019-10-22 06:23:06,6.8,-58.16,73.4,100,20,2.24,0.0,0.0,few clouds
14,Hermanus,ZA,2019-10-22 06:22:28,-34.42,19.24,57.99,66,98,11.99,0.0,0.0,overcast clouds
15,Fortuna,US,2019-10-22 06:23:54,40.6,-124.16,51.01,100,20,5.82,0.0,0.0,few clouds
16,Albany,US,2019-10-22 06:22:43,42.65,-73.75,48.99,87,75,4.38,0.0,0.0,fog
17,Nemuro,JP,2019-10-22 06:23:29,43.32,145.57,59.0,72,75,6.93,0.0,0.0,broken clouds
18,Yellowknife,CA,2019-10-22 06:22:34,62.45,-114.38,32.0,95,90,4.7,0.0,0.0,light snow
19,Vaini,IN,2019-10-22 06:22:50,15.34,74.49,80.6,69,75,9.17,0.0,0.0,broken clouds
20,Ligayan,PH,2019-10-22 06:25:29,4.65,119.47,84.92,68,76,5.12,0.0,0.0,broken clouds
21,Riyadh,SA,2019-10-22 06:25:29,24.63,46.72,89.6,14,0,11.41,0.0,0.0,clear sky
22,Ushuaia,AR,2019-10-22 06:23:04,-54.81,-68.31,51.8,43,40,17.22,0.0,0.0,scattered clouds
23,Nome,US,2019-10-22 06:22:51,30.04,-94.42,64.0,82,1,5.82,0.0,0.0,clear sky
24,Airai,TL,2019-10-22 06:23:21,-8.93,125.41,85.12,25,2,9.35,0.0,0.0,clear sky
25,Severo-Kurilsk,RU,2019-10-22 06:23:01,50.68,156.12,39.04,92,17,4.74,0.0,0.0,few clouds
26,Vanimo,PG,2019-10-22 06:15:41,-2.67,141.3,83.3,73,89,7.2,0.5,0.0,light rain
27,Ponta Delgada,PT,2019-10-22 06:25:31,37.73,-25.67,59.0,87,75,4.7,0.0,0.0,broken clouds
28,Santa Rosa,AR,2019-10-22 06:25:31,-36.62,-64.29,40.84,74,0,3.06,0.0,0.0,clear sky
29,Souillac,FR,2019-10-22 06:25:32,45.6,-0.6,45.0,100,20,3.36,0.0,0.0,few clouds
30,Sao Filipe,CV,2019-10-22 06:22:48,14.9,-24.5,75.72,78,0,15.08,0.0,0.0,clear sky
31,Aklavik,CA,2019-10-22 06:22:37,68.22,-135.01,19.4,92,90,4.7,0.0,0.0,light snow
32,Leh,IN,2019-10-22 06:25:32,34.16,77.58,32.68,25,23,3.24,0.0,0.0,few clouds
33,Hofn,IS,2019-10-22 06:24:53,64.25,-15.21,36.48,53,62,16.89,0.0,0.0,broken clouds
34,Yerbogachen,RU,2019-10-22 06:24:50,61.28,108.01,24.21,61,96,8.46,0.0,0.0,overcast clouds
35,Nouakchott,MR,2019-10-22 06:25:33,18.08,-15.98,71.6,46,0,17.22,0.0,0.0,clear sky
36,Abay,KZ,2019-10-22 06:25:33,49.63,72.87,35.6,47,93,2.24,0.0,0.0,overcast clouds
37,Barbacoas,CO,2019-10-22 06:25:34,1.67,-78.14,69.24,99,100,1.57,7.94,0.0,moderate rain
38,Atuona,PF,2019-10-22 06:25:00,-9.8,-139.03,78.6,77,20,12.82,0.0,0.0,few clouds
39,Puerto Ayora,EC,2019-10-22 06:22:55,-0.74,-90.35,69.01,87,16,4.0,0.0,0.0,few clouds
40,Alice Springs,AU,2019-10-22 06:25:35,-23.7,133.88,89.6,6,0,13.87,0.0,0.0,clear sky
41,Kaitangata,NZ,2019-10-22 06:24:59,-46.28,169.85,43.0,74,100,13.0,0.69,0.0,light rain
42,Hambantota,LK,2019-10-22 06:24:10,6.12,81.12,84.2,83,75,6.93,0.0,0.0,broken clouds
43,Rikitea,PF,2019-10-22 06:22:31,-23.12,-134.97,70.16,83,100,22.55,0.88,0.0,light rain
44,Leningradskiy,RU,2019-10-22 06:24:43,69.38,178.42,26.73,91,100,20.33,0.0,0.62,light snow
45,Port Antonio,JM,2019-10-22 06:25:37,18.18,-76.45,80.6,83,20,3.36,0.0,0.0,few clouds
46,Vanavara,RU,2019-10-22 06:23:36,60.35,102.28,25.0,64,72,7.61,0.0,0.0,broken clouds
47,Talnakh,RU,2019-10-22 06:25:37,69.49,88.39,21.2,85,75,11.18,0.0,0.0,broken clouds
48,Prado,CO,2019-10-22 06:25:38,3.75,-74.93,70.95,80,100,3.49,2.38,0.0,light rain
49,Akhaldaba,GE,2019-10-22 06:25:38,41.68,44.66,59.0,77,20,5.82,0.0,0.0,few clouds
50,Avarua,CK,2019-10-22 06:22:42,-21.21,-159.78,73.4,88,0,3.36,0.0,0.0,clear sky
51,Jamestown,AU,2019-10-22 06:22:32,-33.21,138.6,81.77,16,98,7.05,0.0,0.0,overcast clouds
52,Lompoc,US,2019-10-22 06:25:39,34.64,-120.46,69.8,71,1,8.05,0.0,0.0,clear sky
53,Grand Gaube,MU,2019-10-22 06:25:39,-20.01,57.66,80.6,69,75,18.34,0.0,0.0,broken clouds
54,Kearney,US,2019-10-22 06:25:39,40.7,-99.08,41.0,56,1,12.75,0.0,0.0,clear sky
55,Ankang,CN,2019-10-22 06:25:40,32.73,108.99,56.25,97,100,1.92,1.25,0.0,light rain
56,Rohtak,IN,2019-10-22 06:25:40,28.9,76.58,80.6,44,40,9.17,0.0,0.0,haze
57,Ambagarh Chauki,IN,2019-10-22 06:25:40,20.78,80.75,81.39,65,27,6.6,0.0,0.0,scattered clouds
58,Saint-Philippe,CA,2019-10-22 06:22:34,45.36,-73.48,48.2,81,40,7.14,0.0,0.0,scattered clouds
59,Chuy,UY,2019-10-22 06:23:59,-33.69,-53.46,49.55,96,17,6.11,0.0,0.0,few clouds
60,Bonavista,CA,2019-10-22 06:25:41,48.65,-53.11,42.01,87,57,3.0,0.0,0.0,broken clouds
61,Farroupilha,BR,2019-10-22 06:25:41,-29.22,-51.34,61.0,98,78,1.7,0.0,0.0,moderate rain
62,Bluff,AU,2019-10-22 06:22:35,-23.58,149.07,84.74,21,0,13.67,0.0,0.0,clear sky
63,Qaanaaq,GL,2019-10-22 06:23:11,77.48,-69.36,6.35,37,0,10.13,0.0,0.0,clear sky
64,Buala,SB,2019-10-22 06:23:32,-8.15,159.59,83.32,75,48,12.86,1.63,0.0,light rain
65,Port Blair,IN,2019-10-22 06:23:18,11.67,92.75,84.2,83,75,5.82,0.0,0.0,broken clouds
66,Lhokseumawe,ID,2019-10-22 06:25:43,5.18,97.15,81.09,77,94,3.38,4.56,0.0,moderate rain
67,Upernavik,GL,2019-10-22 06:22:44,72.79,-56.15,13.03,50,25,11.74,0.0,0.0,scattered clouds
68,Leshukonskoye,RU,2019-10-22 06:25:43,64.9,45.76,26.04,87,28,5.46,0.0,0.0,scattered clouds
69,Apatou,SR,2019-10-22 06:25:44,5.16,-54.34,70.7,99,5,2.17,0.0,0.0,clear sky
70,Ribeira Grande,PT,2019-10-22 06:23:37,38.52,-28.7,62.22,78,30,8.7,0.0,0.0,scattered clouds
71,Bonao,DO,2019-10-22 06:25:45,18.94,-70.41,73.4,94,20,3.22,0.0,0.0,few clouds
72,Shakawe,BW,2019-10-22 06:25:45,-18.36,21.84,85.42,11,98,3.02,0.0,0.0,overcast clouds
73,Utmanzai,PK,2019-10-22 06:25:45,34.19,71.76,77.0,50,40,3.31,0.0,0.0,haze
74,Tooele,US,2019-10-22 06:25:46,40.53,-112.3,46.99,66,40,3.36,0.0,0.0,scattered clouds
75,Tasiilaq,GL,2019-10-22 06:22:36,65.61,-37.64,30.2,74,96,18.34,0.0,0.0,light shower snow
76,Mataura,NZ,2019-10-22 06:22:44,-46.19,168.86,43.0,88,100,11.99,4.06,0.0,moderate rain
77,Busselton,AU,2019-10-22 06:22:33,-33.64,115.35,82.0,38,13,9.35,0.0,0.0,few clouds
78,Lata,IN,2019-10-22 06:24:52,30.78,78.62,42.35,28,0,8.08,0.0,0.0,clear sky
79,Narsaq,GL,2019-10-22 06:22:54,60.91,-46.05,30.2,86,88,3.36,0.0,0.0,overcast clouds
80,Saskylakh,RU,2019-10-22 06:22:42,71.97,114.09,8.78,90,8,11.83,0.0,0.0,clear sky
81,Lorengau,PG,2019-10-22 06:24:48,-2.02,147.27,85.06,68,79,6.31,0.81,0.0,light rain
82,Cody,US,2019-10-22 06:23:37,44.53,-109.06,37.4,55,40,4.7,0.0,0.0,scattered clouds
83,Nikolskoye,RU,2019-10-22 06:23:14,59.7,30.79,44.01,87,75,8.95,0.0,0.0,broken clouds
84,Katsuura,JP,2019-10-22 06:22:57,33.93,134.5,77.0,50,75,13.87,0.0,0.0,broken clouds
85,Mar Del Plata,AR,2019-10-22 06:23:07,-46.43,-67.52,46.89,58,0,4.34,0.0,0.0,clear sky
86,The Valley,AI,2019-10-22 06:25:49,18.22,-63.06,82.4,78,20,3.36,0.0,0.0,few clouds
87,Praya,ID,2019-10-22 06:25:49,-8.71,116.27,89.6,55,40,12.75,0.0,0.0,scattered clouds
88,Kodiak,US,2019-10-22 06:22:50,39.95,-94.76,46.99,70,75,16.11,0.0,0.0,broken clouds
89,Carutapera,BR,2019-10-22 06:25:50,-1.2,-46.02,79.92,82,34,12.62,0.0,0.0,scattered clouds
90,Grindavik,IS,2019-10-22 06:23:51,63.84,-22.43,33.8,74,40,24.16,0.0,0.0,scattered clouds
91,Longyearbyen,NO,2019-10-22 06:23:08,78.22,15.63,6.8,71,20,11.41,0.0,0.0,few clouds
92,Kosh-Agach,RU,2019-10-22 06:25:51,49.99,88.66,14.04,48,0,3.76,0.0,0.0,clear sky
93,Faanui,PF,2019-10-22 06:23:07,-16.48,-151.75,81.18,69,0,5.35,0.0,0.0,clear sky
94,Catuday,PH,2019-10-22 06:25:51,16.29,119.81,84.43,66,12,4.18,0.0,0.0,few clouds
95,Cabo San Lucas,MX,2019-10-22 06:23:23,22.89,-109.91,78.01,86,24,1.01,0.0,0.0,few clouds
96,Coahuayana,MX,2019-10-22 06:25:52,18.62,-100.35,71.22,94,92,1.92,0.0,0.0,overcast clouds
97,Port Alfred,ZA,2019-10-22 06:22:52,-33.59,26.89,60.01,62,86,3.0,0.19,0.0,light rain
98,Keffi,NG,2019-10-22 06:25:52,8.85,7.88,72.61,93,74,0.25,0.0,0.0,broken clouds
99,Chapais,CA,2019-10-22 06:24:29,49.78,-74.86,41.0,93,75,6.93,0.0,0.0,broken clouds
100,Sambava,MG,2019-10-22 06:25:53,-14.27,50.17,86.68,53,8,2.86,0.0,0.0,clear sky
101,Tiksi,RU,2019-10-22 06:22:53,71.64,128.87,3.47,85,68,3.2,0.0,0.0,broken clouds
102,Sioux Lookout,CA,2019-10-22 06:24:02,50.1,-91.92,42.8,93,90,18.34,0.0,0.0,light rain
103,Mahebourg,MU,2019-10-22 06:23:39,-20.41,57.7,80.6,69,75,18.34,0.0,0.0,broken clouds
104,Punta Arenas,CL,2019-10-22 06:22:31,-53.16,-70.91,46.4,65,20,18.34,0.0,0.0,few clouds
105,Codrington,AU,2019-10-22 06:24:45,-28.95,153.24,75.2,50,2,14.99,0.0,0.0,clear sky
106,Cidreira,BR,2019-10-22 06:23:56,-30.17,-50.22,62.83,84,95,4.34,0.44,0.0,light rain
107,Kalachinsk,RU,2019-10-22 06:25:54,55.05,74.58,33.39,58,100,16.8,0.0,0.0,overcast clouds
108,Huainan,CN,2019-10-22 06:25:54,32.59,117.01,74.19,33,100,8.01,0.0,0.0,overcast clouds
109,Sidney,US,2019-10-22 06:25:55,47.72,-104.16,37.0,86,1,5.59,0.0,0.0,clear sky
110,Hilo,US,2019-10-22 06:22:37,19.71,-155.08,77.0,78,75,6.93,0.0,0.0,broken clouds
111,Lasa,CY,2019-10-22 06:25:55,34.92,32.53,75.2,44,20,3.36,0.0,0.0,few clouds
112,Horsham,AU,2019-10-22 06:25:56,-36.71,142.2,77.95,30,0,0.63,0.0,0.0,clear sky
113,Veraval,FR,2019-10-22 06:24:19,49.65,0.71,50.0,100,90,3.36,0.0,0.0,fog
114,Mongagua,BR,2019-10-22 06:25:56,-24.09,-46.62,62.01,87,90,4.7,0.0,0.0,mist
115,Itaqui,BR,2019-10-22 06:25:57,-29.13,-56.55,53.35,95,0,6.96,0.0,0.0,clear sky
116,Sarakhs,TM,2019-10-22 06:25:57,36.54,61.16,69.8,43,0,2.24,0.0,0.0,clear sky
117,Saint-Francois,FR,2019-10-22 06:25:57,46.42,3.91,51.8,93,100,2.24,0.0,0.0,light rain
118,Darhan,MN,2019-10-22 06:25:58,49.49,105.92,30.97,57,100,21.0,0.0,0.19,light snow
119,Presidencia Roque Saenz Pena,AR,2019-10-22 06:25:58,-26.79,-60.44,53.01,93,0,3.11,0.0,0.0,clear sky
120,Maniitsoq,GL,2019-10-22 06:25:58,65.42,-52.9,34.77,42,0,5.75,0.0,0.0,clear sky
121,Timra,SE,2019-10-22 06:25:59,62.49,17.33,41.0,93,90,4.7,0.0,0.0,light rain
122,Port Hedland,AU,2019-10-22 06:25:59,-20.31,118.58,95.0,34,38,16.11,0.0,0.0,scattered clouds
123,Klang,MY,2019-10-22 06:25:59,3.05,101.45,89.6,70,40,4.7,0.0,0.0,scattered clouds
124,Torbay,CA,2019-10-22 06:23:49,47.66,-52.73,44.01,93,90,2.24,0.0,0.0,overcast clouds
125,Ketchikan,US,2019-10-22 06:26:00,55.34,-131.65,44.6,93,90,23.04,0.0,0.0,heavy intensity rain
126,Itaituba,BR,2019-10-22 06:26:00,-4.26,-55.99,72.54,97,100,1.77,0.0,0.0,overcast clouds
127,Ponta Do Sol,BR,2019-10-22 06:23:55,-20.63,-46.0,65.77,92,100,4.83,0.44,0.0,light rain
128,Isangel,VU,2019-10-22 06:22:41,-19.55,169.27,84.2,62,75,9.17,0.0,0.0,broken clouds
129,Tual,ID,2019-10-22 06:23:21,-5.67,132.75,81.59,71,8,9.86,0.0,0.0,clear sky
130,Bueu,ES,2019-10-22 06:26:01,42.33,-8.79,51.01,93,0,3.36,0.0,0.0,clear sky
131,Gladstone,AU,2019-10-22 06:26:01,-23.84,151.26,77.0,50,0,16.11,0.0,0.0,clear sky
132,Darnah,LY,2019-10-22 06:26:02,32.77,22.64,74.1,73,0,14.76,0.0,0.0,clear sky
133,Oil City,US,2019-10-22 06:26:02,41.43,-79.71,60.01,76,90,11.41,0.0,0.0,light rain
134,Cardonal,CL,2019-10-22 06:26:02,-41.46,-72.99,37.4,93,1,3.36,0.0,0.0,clear sky
135,Zhigansk,RU,2019-10-22 06:26:03,66.77,123.37,17.17,82,99,5.39,0.0,0.0,overcast clouds
136,Kahului,US,2019-10-22 06:23:44,20.89,-156.47,80.6,54,20,14.99,0.0,0.0,few clouds
137,Beyneu,KZ,2019-10-22 06:26:03,45.32,55.19,52.97,47,0,7.78,0.0,0.0,clear sky
138,Yulara,AU,2019-10-22 06:24:34,-25.24,130.99,93.2,7,58,11.41,0.0,0.0,broken clouds
139,Morros,BR,2019-10-22 06:26:04,-2.87,-44.04,78.8,88,20,9.17,0.0,0.0,few clouds
140,Arkhangelskoye,RU,2019-10-22 06:26:04,54.46,37.62,47.61,90,19,3.6,0.0,0.0,few clouds
141,Nicoya,CR,2019-10-22 06:26:05,10.15,-85.45,73.4,100,100,2.24,1.87,0.0,light rain
142,Santa Maria,BR,2019-10-22 06:23:47,-16.02,-48.01,68.0,88,75,9.17,0.0,0.0,thunderstorm with light rain
143,Hobart,AU,2019-10-22 06:23:17,-42.88,147.33,71.01,48,20,12.75,0.0,0.0,few clouds
144,Te Anau,NZ,2019-10-22 06:23:51,-45.41,167.72,38.66,86,100,10.45,2.94,0.0,light rain
145,Hithadhoo,MV,2019-10-22 06:23:03,-0.6,73.08,81.48,76,80,11.34,0.0,0.0,broken clouds
146,Ixtapa,MX,2019-10-22 06:23:00,20.71,-105.21,75.99,94,75,2.37,0.0,0.0,broken clouds
147,Alibag,IN,2019-10-22 06:26:06,18.64,72.88,87.8,62,75,6.93,0.0,0.0,haze
148,East London,ZA,2019-10-22 06:22:28,-33.02,27.91,57.2,71,40,3.36,0.0,0.0,scattered clouds
149,Champerico,MX,2019-10-22 06:26:07,16.38,-93.6,66.34,98,83,1.14,0.0,0.0,broken clouds
150,Tuktoyaktuk,CA,2019-10-22 06:16:07,69.44,-133.03,19.4,85,75,4.7,0.0,0.0,light snow
151,Xining,CN,2019-10-22 06:26:07,36.62,101.77,52.99,43,46,4.0,0.0,0.0,scattered clouds
152,Castro,CL,2019-10-22 06:22:32,-42.48,-73.76,37.4,93,2,8.05,0.0,0.0,clear sky
153,Rundu,NA,2019-10-22 06:26:08,-17.91,19.77,80.6,14,77,4.7,0.0,0.0,broken clouds
154,Arman,RU,2019-10-22 06:24:09,59.7,150.17,36.19,58,100,10.38,0.0,0.0,overcast clouds
155,Noumea,NC,2019-10-22 06:26:09,-22.28,166.46,77.0,61,63,13.87,0.0,0.0,broken clouds
156,Biltine,TD,2019-10-22 06:26:09,14.53,20.93,85.01,46,19,5.93,0.0,0.0,few clouds
157,Lumphat,KH,2019-10-22 06:26:09,13.5,106.97,90.79,51,8,2.28,0.0,0.0,clear sky
158,Pevek,RU,2019-10-22 06:22:43,69.7,170.27,26.67,76,100,11.3,0.0,0.31,light snow
159,Yongan,CN,2019-10-22 06:26:10,39.7,113.69,57.54,35,77,4.97,0.0,0.0,broken clouds
160,New Norfolk,AU,2019-10-22 06:23:01,-42.78,147.06,71.01,48,20,12.75,0.0,0.0,few clouds
161,Sydney,AU,2019-10-22 06:26:10,-33.85,151.22,81.0,53,0,19.46,0.0,0.0,clear sky
162,Cherskiy,RU,2019-10-22 06:25:16,68.75,161.3,0.16,88,4,7.16,0.0,0.0,clear sky
163,Kerman,IR,2019-10-22 06:26:11,30.29,57.06,68.0,19,0,3.87,0.0,0.0,clear sky
164,Boyolangu,ID,2019-10-22 06:26:12,-8.09,111.9,92.16,39,0,16.06,0.0,0.0,clear sky
165,Barrow,AR,2019-10-22 06:24:50,-38.31,-60.23,44.49,88,0,12.48,0.0,0.0,clear sky
166,Vila Franca Do Campo,PT,2019-10-22 06:23:27,37.72,-25.43,59.0,87,75,4.7,0.0,0.0,broken clouds
167,Dikson,RU,2019-10-22 06:22:33,73.51,80.55,25.65,92,100,21.56,0.0,0.63,light snow
168,San Cristobal,HN,2019-10-22 06:23:42,14.68,-86.92,65.71,94,96,3.62,0.0,0.0,overcast clouds
169,Kavieng,PG,2019-10-22 06:24:31,-2.57,150.8,85.23,66,98,5.32,0.0,0.0,overcast clouds
170,Uusikaupunki,FI,2019-10-22 06:26:13,60.8,21.41,50.0,87,75,14.99,0.0,0.0,broken clouds
171,Seybaplaya,MX,2019-10-22 06:26:13,19.65,-90.67,77.43,89,4,3.53,0.0,0.0,clear sky
172,Bongandanga,CD,2019-10-22 06:23:27,1.51,21.07,71.2,97,100,2.24,0.0,0.0,overcast clouds
173,Fairhope,US,2019-10-22 06:26:14,30.52,-87.9,75.2,100,40,5.77,0.0,0.0,scattered clouds
174,Ishigaki,JP,2019-10-22 06:26:14,24.34,124.16,80.6,61,20,12.75,0.0,0.0,few clouds
175,West Bay,CA,2019-10-22 06:26:14,49.34,-123.21,53.01,100,90,4.7,0.0,0.0,light rain
176,Erenhot,CN,2019-10-22 06:26:15,43.65,111.97,59.99,23,26,10.65,0.0,0.0,scattered clouds
177,Harper,US,2019-10-22 06:26:15,30.3,-99.24,57.0,87,1,3.36,0.0,0.0,clear sky
178,Provideniya,RU,2019-10-22 06:22:30,64.42,-173.23,33.8,74,75,11.18,0.0,0.0,extreme rain
179,Sitka,US,2019-10-22 06:23:28,37.17,-99.65,39.0,52,15,10.0,0.0,0.0,few clouds
180,Providencia,CO,2019-10-22 06:26:16,1.24,-77.6,50.79,94,99,1.25,0.25,0.0,light rain
181,Pyapon,MM,2019-10-22 06:26:16,16.29,95.68,91.08,55,1,3.53,0.0,0.0,clear sky
182,Andilamena,MG,2019-10-22 06:26:17,-17.01,48.57,85.66,34,31,1.59,0.0,0.0,scattered clouds
183,Codogno,IT,2019-10-22 06:26:17,45.16,9.7,64.4,82,40,4.7,0.0,0.0,mist
184,Yebaishou,CN,2019-10-22 06:26:17,41.4,119.64,66.51,17,0,5.95,0.0,0.0,clear sky
185,Carbonia,IT,2019-10-22 06:26:17,39.17,8.53,71.6,83,20,12.75,0.0,0.0,few clouds
186,Inuvik,CA,2019-10-22 06:26:18,68.36,-133.71,19.4,92,90,4.7,0.0,0.0,light snow
187,Vila,IT,2019-10-22 06:26:18,45.18,8.4,63.0,100,75,4.7,0.0,0.0,broken clouds
188,Honiara,SB,2019-10-22 06:26:19,-9.43,159.96,87.8,58,75,11.41,0.0,0.0,broken clouds
